word,pronunciation,meaning,description_en,example,word_type,collocation,related_words,note,deck_name,deck_tag
conservation,/ˌkɑnsərˈveɪʃən/,bảo tồn,"The protection of animals, plants, and natural resources, or the careful use of them to prevent them from being lost or wasted.","Effective conservation strategies often involve the establishment of protected areas, where human activities are restricted to safeguard biodiversity.",noun,"the conservation, of conservation, and conservation","preservation, protection",,Biology,IELTS 7.5+
vulnerable,/ˈvəlnərəbəl/,dễ bị tổn thương,Susceptible to physical or emotional attack or harm; exposed to the possibility of being attacked or harmed.,Endemic species with small population sizes and restricted geographic ranges are particularly vulnerable to extinction from environmental stochasticity and habitat loss.,adjective,"more vulnerable, most vulnerable, and vulnerable","susceptible, exposed",,Biology,IELTS 7.5+
subtle,/ˈsətəl/,tinh tế,"Not obvious, and therefore difficult to notice, understand, or describe; characterized by fine or delicate distinctions.","The research demonstrated that even subtle, non-verbal cues from the therapist could significantly influence the patient's perception of the session's success.",adjective,"more subtle, the subtle, a subtle","understated, nuanced",,Psychology,IELTS 7.5+
perceive,/pərˈsiv/,nhận thức,"To become aware of, comprehend, or interpret something through the senses or the mind.","Cognitive models often posit that individuals perceive and interpret information through pre-existing schemas, which can lead to confirmation bias.",verb,"to perceive, we perceive, not perceive","discern, recognize",,Psychology,IELTS 7.5+
eliminate,/ɪˈlɪməˌneɪt/,loại bỏ,"To completely remove or get rid of something, especially something that is unwanted or unnecessary.",The experimenter must also control for confounding variables—any factors that would jeopardize the accuracy of the experiment—by attempting to eliminate them from the experimental design.,verb,"to eliminate, and eliminate, not eliminate","eradicate, remove",,Biology,IELTS 7.5+
insight,/ˈɪnˌsaɪt/,cái nhìn thấu suốt,"The capacity to gain an accurate and deep intuitive understanding of a person or thing; a clear, deep, and sometimes sudden understanding of a complicated problem or situation.",Archival research into the correspondence of early 20th-century physicists has offered profound insight into the collaborative processes that led to the development of quantum mechanics.,noun,"an insight, of insight, and insight","understanding, perception",,Psychology,IELTS 7.5+
regulate,/ˈrɛgjəˌleɪt/,điều tiết,"To control or manage a process, system, or activity, especially by using rules or laws.","The endocrine system uses hormones to regulate a variety of complex physiological processes, including growth, metabolism, and reproduction.",verb,"to regulate, and regulate, that regulate","control, govern",,Biology,IELTS 7.5+
utilize,/ˈjutəˌlaɪz/,sử dụng,"To make practical and effective use of something, often a resource or opportunity, for a particular purpose.","The new architectural design aims to utilize natural ventilation systems to minimize the building's reliance on mechanical air conditioning, thereby reducing overall energy consumption.",verb,"to utilize, and utilize, can utilize","employ, use",,Engineering,IELTS 7.5+
perspective,/pərˈspɛktɪv/,luật xa gần,A particular attitude toward or way of regarding something; a point of view.,Adopting a socio-historical perspective allows researchers to understand how contemporary social structures are deeply rooted in the events and ideologies of the past.,noun,"the perspective, this perspective, in perspective","viewpoint, standpoint",,Sociology,IELTS 7.5+
inquiry,/ˌɪnkˈwaɪˌri/,cuộc điều tra,An act of asking for information or an official process to discover the facts about something; a systematic investigation of a matter of public interest.,"The process of scientific inquiry is often iterative, involving cycles of hypothesis, experimentation, and revision based on empirical evidence.",noun,"of inquiry, the inquiry, an inquiry","investigation, query",,Philosophy,IELTS 7.5+
revenue,/ˈrɛvəˌnu/,doanh thu,"The income that a business or government receives regularly, typically from the sale of goods and services or from taxes.","Government revenue, which is essential for funding public services, is primarily derived from sources such as taxation, customs duties, and fees for government-provided services.",noun,"the revenue, of revenue, internal revenue","income, earnings",,Economics,IELTS 7.5+
legislation,/ˌlɛʤəsˈleɪʃən/,pháp luật,A law or a set of laws that have been passed by a parliament or other official governing body.,"The process of enacting environmental legislation is complex, involving extensive debate among policymakers, scientists, and industry representatives to balance ecological protection with economic interests.",noun,"the legislation, of legislation, this legislation","laws, statutes",,Political Science,IELTS 7.5+
potential,/pəˈtɛnʃəl/,tiềm năng,Latent qualities or abilities that may be developed and lead to future success or usefulness.,"The experiment aimed to measure the electrical potential between the two charged plates, a key factor in determining the subsequent kinetic energy of the particles.",noun,"the potential, a potential, of potential","capability, possibility",,Physics,IELTS 7.5+
crucial,/ˈkruʃəl/,chủ yếu,"Extremely important or necessary for the success, failure, or existence of something; decisive or critical.",Understanding the historical context of the treaty is crucial for interpreting its modern-day implications on international relations.,adjective,"the crucial, a crucial, is crucial","vital, essential",,Political Science,IELTS 7.5+
theory,/ˈθɪri/,lý thuyết,"A well-substantiated explanation of some aspect of the natural or social world, based on a body of facts that have been repeatedly confirmed through observation and experiment.","The general theory of relativity, proposed by Albert Einstein, fundamentally altered our understanding of gravity as a curvature of spacetime caused by mass and energy.",noun,"the theory, a theory, in theory","principle, framework",,Philosophy of Science,IELTS 7.5+
adapt,/əˈdæpt/,thích nghi,To change or be changed in order to become suitable for a new situation or purpose.,"Over many generations, organisms adapt through natural selection, developing traits that enhance their survival and reproduction within a specific environment.",verb,"to adapt, and adapt, can adapt","adjust, acclimate",,Biology,IELTS 7.5+
stability,/stəˈbɪlɪti/,sự ổn định,"The state of being resistant to change, disruption, or motion; the quality of being firm, steady, and not likely to fall or be overthrown.",The principle of minimum potential energy is a fundamental concept used to determine the stability of a system in equilibrium.,noun,"the stability, and stability, of stability","steadiness, firmness",,Physics,IELTS 7.5+
implication,/ˌɪmpləˈkeɪʃən/,hàm ý,A likely consequence of an action or decision; something that is suggested or hinted at without being said directly.,The primary implication of this research is that the cognitive mechanisms underlying language acquisition may be more domain-general than previously assumed.,noun,"the implication, by implication, an implication","consequence, insinuation",,Philosophy,IELTS 7.5+
hierarchy,/ˈhaɪˌrɑrki/,thứ bậc,A system or organization in which people or groups are ranked one above the other according to status or authority.,"Complex systems, such as social structures or ecosystems, often exhibit a distinct hierarchy, where components are organized into levels of subordination and superordination.",noun,"the hierarchy, a hierarchy, of hierarchy","ranking, pecking order",,Sociology,IELTS 7.5+
anticipate,/ænˈtɪsəˌpeɪt/,đoán trước,To regard something as probable or likely to happen; to foresee and prepare for a future event.,The econometric model was developed to anticipate fluctuations in the global commodities market based on geopolitical events.,verb,"to anticipate, not anticipate, can anticipate","expect, predict",,Economics,IELTS 7.5+
